,country,num_5ks,num_10ks,num_marathons
0,Algeria,1.0,1.0,1.0
1,Antigua and Barbuda,1.0,1.0,1.0
2,Armenia,1.0,1.0,1.0
3,Aruba,1.0,3.0,1.0
4,Australia,36.0,43.0,32.0
5,Austria,12.0,17.0,15.0
6,Bahamas,3.0,3.0,2.0
7,Barbados,1.0,1.0,1.0
8,Belarus,1.0,1.0,1.0
9,Belgium,20.0,19.0,18.0
10,Belize,1.0,0.0,2.0
11,Bermuda,1.0,2.0,1.0
12,Bosnia and Herzegovina,1.0,3.0,2.0
13,Brazil,8.0,7.0,9.0
14,Brunei,1.0,3.0,0.0
15,Bulgaria,1.0,4.0,6.0
16,Cambodia,3.0,6.0,4.0
17,Canada,76.0,85.0,64.0
18,China,18.0,11.0,34.0
19,Colombia,1.0,3.0,2.0
20,Costa Rica,1.0,3.0,3.0
21,Croatia,17.0,16.0,11.0
22,Cuba,1.0,1.0,1.0
23,Curaçao,4.0,4.0,3.0
24,Cyprus,24.0,20.0,5.0
25,Czech Republic,2.0,6.0,8.0
26,Denmark,5.0,9.0,16.0
27,Dominican Republic,4.0,4.0,2.0
28,Ecuador,2.0,2.0,1.0
29,Egypt,4.0,7.0,4.0
30,Estonia,3.0,8.0,12.0
31,Fiji,1.0,1.0,1.0
32,Finland,10.0,23.0,32.0
33,France,44.0,84.0,44.0
34,French Polynesia,1.0,1.0,1.0
35,Gabon,1.0,1.0,1.0
36,Gambia,1.0,1.0,3.0
37,Germany,163.0,249.0,144.0
38,Ghana,4.0,2.0,2.0
39,Greece,30.0,25.0,13.0
40,Guam,1.0,1.0,1.0
41,Hungary,1.0,6.0,3.0
42,Iceland,2.0,5.0,4.0
43,India,73.0,94.0,41.0
44,Indonesia,3.0,4.0,4.0
45,Ireland,6.0,15.0,20.0
46,Israel,8.0,11.0,10.0
47,Italy,15.0,43.0,47.0
48,Jamaica,5.0,5.0,4.0
49,Japan,11.0,17.0,33.0
50,Jordan,1.0,4.0,4.0
51,Kenya,6.0,8.0,7.0
52,Kuwait,1.0,1.0,1.0
53,Lao People's Democratic Republic,1.0,1.0,0.0
54,Latvia,5.0,5.0,2.0
55,Lebanon,1.0,0.0,1.0
56,Lithuania,3.0,2.0,2.0
57,Luxembourg,1.0,0.0,1.0
58,Macedonia,4.0,1.0,2.0
59,Malaysia,30.0,31.0,16.0
60,Maldives,4.0,4.0,4.0
61,Malta,1.0,6.0,1.0
62,Mauritius,2.0,2.0,1.0
63,Mexico,5.0,10.0,11.0
64,Monaco,1.0,1.0,0.0
65,Montenegro,1.0,0.0,1.0
66,Nepal,5.0,2.0,8.0
67,Netherlands,37.0,51.0,35.0
68,New Zealand,16.0,22.0,16.0
69,Nigeria,1.0,6.0,3.0
70,Norway,9.0,18.0,22.0
71,Oman,2.0,2.0,2.0
72,Panama,1.0,1.0,1.0
73,Philippines,3.0,2.0,2.0
74,Poland,4.0,4.0,12.0
75,Portugal,24.0,35.0,16.0
76,Puerto Rico,2.0,1.0,1.0
77,Qatar,1.0,1.0,1.0
78,Romania,1.0,4.0,9.0
79,Russia,7.0,13.0,10.0
80,Senegal,1.0,1.0,1.0
81,Serbia,2.0,5.0,3.0
82,Seychelles,1.0,1.0,1.0
83,Sierra Leone,1.0,1.0,1.0
84,Singapore,5.0,6.0,2.0
85,Slovakia,1.0,2.0,2.0
86,Slovenia,1.0,7.0,5.0
87,South Africa,15.0,25.0,21.0
88,South Korea,7.0,13.0,8.0
89,Spain,6.0,24.0,33.0
90,Sri Lanka,3.0,3.0,1.0
91,Sweden,16.0,20.0,25.0
92,Switzerland,5.0,17.0,14.0
93,Taiwan,3.0,4.0,9.0
94,Tanzania,8.0,7.0,13.0
95,Thailand,36.0,41.0,23.0
96,Trinidad and Tobago,2.0,1.0,2.0
97,Turkey,8.0,6.0,6.0
98,Turks and Caicos Islands,1.0,1.0,1.0
99,Uganda,1.0,1.0,2.0
100,United Arab Emirates,5.0,5.0,5.0
101,UK,59.0,104.0,96.0
102,USA,714.0,466.0,457.0
103,Uruguay,1.0,1.0,0.0
104,Vietnam,19.0,24.0,23.0
105,Zambia,1.0,1.0,1.0
106,Zimbabwe,1.0,0.0,2.0
107,Albania,0.0,1.0,0.0
108,Andorra,0.0,1.0,0.0
109,Argentina,0.0,2.0,4.0
110,Bolivia,0.0,1.0,2.0
111,Botswana,0.0,2.0,2.0
112,Chile,0.0,4.0,4.0
113,Democratic Republic of the Congo,0.0,2.0,0.0
114,Cook Islands,0.0,1.0,1.0
115,Ethiopia,0.0,1.0,1.0
116,Georgia,0.0,2.0,0.0
117,Guadeloupe,0.0,1.0,0.0
118,Honduras,0.0,1.0,0.0
119,Hong Kong,0.0,4.0,1.0
120,Iran,0.0,1.0,1.0
121,Kazakhstan,0.0,3.0,3.0
122,Malawi,0.0,1.0,2.0
123,Morocco,0.0,8.0,9.0
124,Myanmar,0.0,2.0,2.0
125,Namibia,0.0,1.0,0.0
126,Northern Mariana Islands,0.0,1.0,1.0
127,Paraguay,0.0,1.0,1.0
128,Peru,0.0,3.0,3.0
129,Rwanda,0.0,1.0,1.0
130,Sao Tome and Principe,0.0,1.0,1.0
131,Somalia,0.0,1.0,1.0
132,Tunisia,0.0,3.0,4.0
133,Ukraine,0.0,21.0,4.0
134,Antarctica,0.0,0.0,3.0
135,Azerbaijan,0.0,0.0,1.0
136,Bahrain,0.0,0.0,1.0
137,Bhutan,0.0,0.0,1.0
138,Cayman Islands,0.0,0.0,2.0
139,Congo,0.0,0.0,1.0
140,Falkland Islands,0.0,0.0,1.0
141,Greenland,0.0,0.0,1.0
142,Guernsey,0.0,0.0,1.0
143,Isle of Man,0.0,0.0,1.0
144,Jersey,0.0,0.0,1.0
145,Liechtenstein,0.0,0.0,1.0
146,Macao,0.0,0.0,1.0
147,Mozambique,0.0,0.0,1.0
148,North Korea,0.0,0.0,1.0
149,Saudi Arabia,0.0,0.0,1.0
150,Togo,0.0,0.0,4.0
151,Yugoslavia,0.0,0.0,0.0
152,Eritrea,0.0,0.0,0.0
153,Djibouti,0.0,0.0,0.0
154,Burundi,0.0,0.0,0.0